metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
74,2+kk,C,Novostavba,praha 5,9260000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-devonska/3640443468
63,2+kk,B,Novostavba,praha 7,11600000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-v-haji/2436764236
98,4+kk,G,Ve velmi dobrém stavu,praha 5,15600000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-svornosti/4226224716
67,3+kk,B,Ve velmi dobrém stavu,praha 9,13790000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vysocany-svatosovych/3057779276
55,3+kk,G,Po rekonstrukci,praha 9,7900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-u-svobodarny/1362170444
61,2+kk,B,Novostavba,praha 4,9300000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kamyk-zimova/1835610700
56,2+kk,C,Ve velmi dobrém stavu,praha 1,11995000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-mala-strana-ujezd/881656396
90,4+kk,G,Ve velmi dobrém stavu,praha 5,12500000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hlubocepy-silurska/1943225676
30,1+kk,B,Novostavba,praha 5,7500000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-graficka/2005496396
27,1+kk,E,Ve velmi dobrém stavu,praha 5,4200000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-jinonice-peroutkova/157889100
41,2+kk,C,Ve velmi dobrém stavu,praha 4,6000000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kamyk-psencikova/4023718476
72,3+kk,B,Novostavba,stredni-cechy,7998000,https://www.sreality.cz/detail/prodej/byt/3+kk/slapy-slapy-/3163492940
46,2+kk,C,Ve velmi dobrém stavu,praha 4,5890000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-ceneticka/4044104268
120,4+kk,G,Po rekonstrukci,praha 9,11490000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hostavice-piscita/1394860620
27,1+kk,B,Ve velmi dobrém stavu,praha 9,5300000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-prosek-bilinska/488505932
57,2+kk,C,V dobrém stavu,praha 8,7980000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-novakovych/2519065164
95,4+kk,C,Ve velmi dobrém stavu,praha 10,12390000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-horni-mecholupy-padovska/424550988
67,2+kk,E,Po rekonstrukci,praha 4,9995810,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-k-vltave/1165087308
59,2+kk,E,Po rekonstrukci,praha 4,8899100,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-k-vltave/2774651468
41,1+kk,G,Po rekonstrukci,praha 9,4990000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-hostavice-piscita/1612964428
41,2+kk,D,Ve velmi dobrém stavu,praha 4,6300000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-krc-v-stihlach/1483874892
